80487	Caddyshack	1980	98	7.3	93960	Comedy,Sport
80678	The Elephant Man	1980	124	8.2	195212	Biography,Drama
80684	Star Wars: Episode V - The Empire Strikes Back	1980	124	8.8	1017435	Action,Adventure,Fantasy
80749	The Fog	1980	89	6.8	55542	Horror,Thriller
80761	Friday the 13th	1980	95	6.5	102113	Horror,Mystery,Thriller
81398	Raging Bull	1980	129	8.2	279681	Biography,Drama,Sport
81505	The Shining	1980	146	8.4	751536	Drama,Horror
81573	Superman II	1980	127	6.8	88350	Action,Adventure,Sci-Fi
81633	Time Bandits	1981	116	7.0	52198	Adventure,Comedy,Fantasy
82010	An American Werewolf in London	1981	97	7.6	79468	Comedy,Horror
82096	Das Boot	1981	149	8.4	202637	Adventure,Drama,Thriller
82198	Conan the Barbarian	1982	129	6.9	125690	Adventure,Fantasy
82340	Escape from New York	1981	99	7.2	108930	Action,Sci-Fi
82348	Excalibur	1981	140	7.4	52443	Adventure,Drama,Fantasy
82398	For Your Eyes Only	1981	127	6.8	81773	Action,Adventure,Thriller
82406	The Fox and the Hound	1981	83	7.3	74358	Adventure,Animation,Drama
82418	Friday the 13th Part 2	1981	87	6.1	49662	Horror,Mystery,Thriller
82495	Halloween II	1981	92	6.6	64055	Horror
82694	The Road Warrior	1981	95	7.6	151662	Action,Adventure,Sci-Fi
82971	Raiders of the Lost Ark	1981	115	8.5	784746	Action,Adventure
83131	Stripes	1981	106	6.9	57091	Comedy,War
83511	48 Hrs.	1982	96	6.9	61346	Action,Comedy,Crime
83658	Blade Runner	1982	117	8.2	608485	Sci-Fi,Thriller
83866	E.T. The Extra-Terrestrial	1982	115	7.9	327668	Family,Sci-Fi
83907	The Evil Dead	1981	85	7.5	165534	Horror
83922	Fanny and Alexander	1982	188	8.1	50638	Drama
83929	Fast Times at Ridgemont High	1982	90	7.2	82904	Comedy,Drama
83944	First Blood	1982	93	7.7	196844	Action,Adventure
83987	Gandhi	1982	191	8.1	202836	Biography,Drama,History
84503	Pink Floyd: The Wall	1982	95	8.0	68700	Animation,Drama,Fantasy
84516	Poltergeist	1982	114	7.4	125383	Horror,Thriller
84602	Rocky III	1982	99	6.8	149681	Drama,Sport
84726	Star Trek II: The Wrath of Khan	1982	113	7.7	102888	Action,Adventure,Sci-Fi
84787	The Thing	1982	109	8.1	320344	Horror,Mystery,Sci-Fi
84805	Tootsie	1982	116	7.4	87342	Comedy,Drama,Romance
84827	TRON	1982	96	6.8	104157	Action,Adventure,Sci-Fi
85333	Christine	1983	110	6.7	61051	Horror
85334	A Christmas Story	1983	94	8.0	118267	Comedy,Family
85407	The Dead Zone	1983	103	7.2	52937	Horror,Sci-Fi,Thriller
85794	The King of Comedy	1982	109	7.8	65075	Comedy,Crime,Drama
85959	The Meaning of Life	1983	107	7.6	101373	Comedy,Musical
85995	National Lampoon's Vacation	1983	98	7.4	83965	Adventure,Comedy
86006	Never Say Never Again	1983	134	6.2	54798	Action,Adventure,Thriller
86034	Octopussy	1983	131	6.6	84542	Action,Adventure,Thriller
86066	The Outsiders	1983	91	7.2	66181	Crime,Drama
86190	Star Wars: Episode VI - Return of the Jedi	1983	131	8.3	834690	Action,Adventure,Fantasy
86197	The Right Stuff	1983	193	7.9	50941	Adventure,Biography,Drama
86200	Risky Business	1983	99	6.8	71767	Comedy,Crime,Drama
86250	Scarface	1983	170	8.3	643346	Crime,Drama
86393	Superman III	1983	125	4.9	57935	Action,Comedy,Sci-Fi
86465	Trading Places	1983	116	7.5	119791	Comedy
86541	Videodrome	1983	87	7.3	72515	Horror,Sci-Fi,Thriller
86567	WarGames	1983	114	7.1	81478	Sci-Fi,Thriller
86879	Amadeus	1984	160	8.3	326615	Biography,Drama,History
86960	Beverly Hills Cop	1984	105	7.3	145159	Action,Comedy,Crime
86979	Blood Simple	1984	99	7.6	77722	Crime,Drama,Thriller
87078	Conan the Destroyer	1984	103	5.9	69759	Action,Adventure,Fantasy
87182	Dune	1984	137	6.6	108644	Action,Adventure,Sci-Fi
87277	Footloose	1984	107	6.5	61752	Drama,Music,Romance
87332	Ghostbusters	1984	105	7.8	314984	Action,Comedy,Fantasy
87363	Gremlins	1984	106	7.2	171101	Comedy,Fantasy,Horror
87469	Indiana Jones and the Temple of Doom	1984	118	7.6	390764	Action,Adventure
87538	The Karate Kid	1984	126	7.2	153748	Action,Drama,Family
87544	Nausicaä of the Valley of the Wind	1984	117	8.1	123708	Adventure,Animation,Fantasy
87800	A Nightmare on Elm Street	1984	91	7.5	179766	Horror
87803	1984	1984	113	7.2	58413	Drama,Sci-Fi
87843	Once Upon a Time in America	1984	229	8.4	267795	Crime,Drama
87884	Paris, Texas	1984	145	8.1	70940	Drama
87928	Police Academy	1984	96	6.7	100771	Comedy
88011	Romancing the Stone	1984	106	6.9	73667	Action,Adventure,Comedy
88128	Sixteen Candles	1984	93	7.1	89895	Comedy,Romance
88161	Splash	1984	111	6.2	61843	Comedy,Fantasy,Romance
88170	Star Trek III: The Search for Spock	1984	105	6.7	67051	Action,Adventure,Sci-Fi
88247	The Terminator	1984	107	8.0	707979	Action,Sci-Fi
88258	This Is Spinal Tap	1984	82	8.0	117839	Comedy,Music
88286	Top Secret!	1984	90	7.2	52993	Comedy,Music
