62622	2001: A Space Odyssey	1968	149	8.3	523681	Adventure	Sci-Fi	
3315342	Logan	2017	137	8.1	523398	Action	Drama	Sci-Fi
1024648	Argo	2012	120	7.7	522889	Biography	Drama	Thriller
369610	Jurassic World	2015	124	7.0	521441	Action	Adventure	Sci-Fi
120903	X-Men	2000	104	7.4	521306	Action	Adventure	Sci-Fi
454876	Life of Pi	2012	127	7.9	517714	Adventure	Drama	Fantasy
54215	Psycho	1960	109	8.5	517709	Horror	Mystery	Thriller
948470	The Amazing Spider-Man	2012	136	7.0	512171	Action	Adventure	Sci-Fi
758758	Into the Wild	2007	148	8.1	511703	Adventure	Biography	Drama
2096673	Inside Out	2015	95	8.2	510186	Adventure	Animation	Comedy
1981115	Thor: The Dark World	2013	112	7.0	510082	Action	Adventure	Fantasy
113277	Heat	1995	170	8.2	509970	Crime	Drama	Thriller
780504	Drive	2011	100	7.8	507460	Crime	Drama	
1392214	Prisoners	2013	153	8.1	506141	Crime	Drama	Mystery
1386697	Suicide Squad	2016	123	6.1	505803	Action	Adventure	Fantasy
2294629	Frozen	2013	102	7.5	499716	Adventure	Animation	Comedy
2562232	Birdman or (The Unexpected Virtue of Ignorance)	2014	119	7.7	498806	Comedy	Drama	
73195	Jaws	1975	124	8.0	495792	Adventure	Drama	Thriller
1276104	Looper	2012	113	7.4	488952	Action	Crime	Drama
1250777	Kick-Ass	2010	117	7.6	487479	Action	Comedy	
316654	Spider-Man 2	2004	127	7.3	484382	Action	Adventure	Sci-Fi
116629	Independence Day	1996	145	7.0	484381	Action	Adventure	Sci-Fi
2543164	Arrival	2016	116	7.9	483441	Drama	Mystery	Sci-Fi
120735	Lock, Stock and Two Smoking Barrels	1998	107	8.2	481653	Comedy	Crime	
119488	L.A. Confidential	1997	138	8.3	481395	Crime	Drama	Mystery
1219289	Limitless	2011	105	7.4	479809	Mystery	Sci-Fi	Thriller
295297	Harry Potter and the Chamber of Secrets	2002	161	7.4	473653	Adventure	Family	Fantasy
829482	Superbad	2007	113	7.6	472397	Comedy		
330373	Harry Potter and the Goblet of Fire	2005	157	7.7	469636	Adventure	Family	Fantasy
304141	Harry Potter and the Prisoner of Azkaban	2004	142	7.9	469587	Adventure	Family	Fantasy
290334	X-Men 2	2003	134	7.5	467958	Action	Adventure	Sci-Fi
234215	The Matrix Reloaded	2003	138	7.2	467957	Action	Sci-Fi	
1232829	21 Jump Street	2012	109	7.2	466649	Action	Comedy	Crime
258463	The Bourne Identity	2002	119	7.9	465380	Action	Mystery	Thriller
1211837	Doctor Strange	2016	115	7.5	464058	Action	Adventure	Fantasy
1318514	Rise of the Planet of the Apes	2011	105	7.6	464011	Action	Drama	Sci-Fi
240772	Ocean's Eleven	2001	116	7.8	463472	Crime	Thriller	
119654	Men in Black	1997	98	7.3	462445	Adventure	Comedy	Mystery
34583	Casablanca	1942	102	8.5	461879	Drama	Romance	War
478970	Ant-Man	2015	117	7.3	461304	Action	Adventure	Comedy
332280	The Notebook	2004	123	7.9	459813	Drama	Romance	
162222	Cast Away	2000	143	7.8	459605	Adventure	Drama	Romance
181689	Minority Report	2002	145	7.7	458379	Action	Crime	Mystery
467406	Juno	2007	96	7.5	457772	Comedy	Drama	
75148	Rocky	1976	120	8.1	457639	Drama	Sport	
365748	Shaun of the Dead	2004	99	7.9	456892	Comedy	Horror	
450259	Blood Diamond	2006	143	8.0	453103	Adventure	Drama	Thriller
3748528	Rogue One: A Star Wars Story	2016	133	7.8	452604	Action	Adventure	Sci-Fi
120363	Toy Story 2	1999	92	7.9	452557	Adventure	Animation	Comedy
451279	Wonder Woman	2017	141	7.5	451750	Action	Adventure	Fantasy
343818	I, Robot	2004	115	7.1	451260	Action	Crime	Drama
1323594	Despicable Me	2010	95	7.7	450436	Animation	Comedy	Family
469494	There Will Be Blood	2007	158	8.1	450210	Drama		
71853	Monty Python and the Holy Grail	1975	91	8.3	447707	Adventure	Comedy	Fantasy
1798709	Her	2013	126	8.0	447673	Drama	Romance	Sci-Fi
413300	Spider-Man 3	2007	139	6.2	446699	Action	Adventure	Sci-Fi
1156398	Zombieland	2009	88	7.7	445116	Adventure	Comedy	Horror
1483013	Oblivion	2013	124	7.0	442367	Action	Adventure	Mystery
409459	Watchmen	2009	162	7.6	442345	Action	Drama	Mystery
364569	Oldboy	2003	120	8.4	442219	Action	Drama	Mystery
945513	Source Code	2011	93	7.5	441219	Sci-Fi	Thriller	
332452	Troy	2004	163	7.2	439878	Drama	History	Romance
376994	X-Men: The Last Stand	2006	104	6.7	439789	Action	Adventure	Sci-Fi
1408101	Star Trek: Into Darkness	2013	132	7.7	439586	Action	Adventure	Sci-Fi
1298650	Pirates of the Caribbean: On Stranger Tides	2011	136	6.6	435765	Action	Adventure	Fantasy
1663662	Pacific Rim	2013	131	6.9	435247	Action	Adventure	Sci-Fi
373889	Harry Potter and the Order of the Phoenix	2007	138	7.5	435212	Adventure	Family	Fantasy
5013056	Dunkirk	2017	106	7.9	433233	Action	Drama	History
95953	Rain Man	1988	133	8.0	431880	Drama		
1022603	500 Days of Summer	2009	95	7.7	431140	Comedy	Drama	Romance
2527336	Star Wars: The Last Jedi	2017	152	7.2	431133	Action	Adventure	Fantasy
3896198	Guardians of the Galaxy Vol. 2	2017	136	7.7	427995	Action	Adventure	Comedy
1570728	Crazy, Stupid, Love.	2011	118	7.4	427872	Comedy	Drama	Romance
2310332	The Hobbit: The Battle of the Five Armies	2014	144	7.4	425998	Adventure	Fantasy	
1825683	Black Panther	2018	134	7.4	424332	Action	Adventure	Sci-Fi
458525	X-Men Origins: Wolverine	2009	107	6.6	423850	Action	Adventure	Sci-Fi
1411697	The Hangover Part II	2011	102	6.5	422823	Comedy	Mystery	
1343092	The Great Gatsby	2013	143	7.3	421086	Drama	Romance	
144084	American Psycho	2000	101	7.6	418178	Crime	Drama	
1229238	Mission: Impossible - Ghost Protocol	2011	132	7.4	417263	Action	Adventure	Thriller
206634	Children of Men	2006	109	7.9	417184	Drama	Sci-Fi	Thriller
425112	Hot Fuzz	2007	121	7.9	413542	Action	Comedy	
1659337	The Perks of Being a Wallflower	2012	103	8.0	412938	Drama	Romance	
3460252	The Hateful Eight	2015	187	7.8	411960	Crime	Drama	Mystery
289879	The Butterfly Effect	2004	113	7.7	410580	Drama	Sci-Fi	Thriller
3501632	Thor: Ragnarok	2017	130	7.9	410260	Action	Adventure	Comedy
96874	Back to the Future Part II	1989	108	7.8	409604	Adventure	Comedy	Sci-Fi
1800241	American Hustle	2013	138	7.3	408535	Crime	Drama	
2911666	John Wick	2014	101	7.3	407908	Action	Crime	Thriller
926084	Harry Potter and the Deathly Hallows: Part 1	2010	146	7.7	407584	Adventure	Family	Fantasy
3783958	La La Land	2016	128	8.0	407201	Comedy	Drama	Music
242653	The Matrix Revolutions	2003	129	6.7	406135	Action	Sci-Fi	
99487	Edward Scissorhands	1990	105	7.9	405780	Drama	Fantasy	Romance
470752	Ex Machina	2014	108	7.7	405062	Drama	Mystery	Sci-Fi
356910	Mr. & Mrs. Smith	2005	120	6.5	404672	Action	Comedy	Crime
57012	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	95	8.4	404066	Comedy		
112641	Casino	1995	178	8.2	401956	Crime	Drama	
449059	Little Miss Sunshine	2006	101	7.8	400743	Comedy	Drama	
417741	Harry Potter and the Half-Blood Prince	2009	153	7.6	400333	Adventure	Family	Fantasy
448157	Hancock	2008	92	6.4	399955	Action	Drama	Fantasy
372183	The Bourne Supremacy	2004	108	7.8	399190	Action	Mystery	Thriller
375679	Crash	2004	112	7.8	394966	Crime	Drama	Thriller
454921	The Pursuit of Happyness	2006	117	8.0	394664	Biography	Drama	
1291584	Warrior	2011	140	8.2	394513	Drama	Sport	
119116	The Fifth Element	1997	126	7.7	392321	Action	Adventure	Sci-Fi
1499658	Horrible Bosses	2011	98	6.9	391590	Comedy	Crime	
790636	Dallas Buyers Club	2013	117	8.0	390890	Biography	Drama	
1840309	Divergent	2014	139	6.7	390800	Action	Adventure	Mystery
87469	Indiana Jones and the Temple of Doom	1984	118	7.6	390764	Action	Adventure	
2872732	Lucy	2014	89	6.4	390678	Action	Sci-Fi	Thriller
2179136	American Sniper	2014	133	7.3	389530	Action	Biography	Drama
1430132	The Wolverine	2013	126	6.7	388921	Action	Adventure	Sci-Fi
99785	Home Alone	1990	103	7.5	387802	Comedy	Family	
2872718	Nightcrawler	2014	117	7.9	387293	Crime	Drama	Thriller
1535108	Elysium	2013	109	6.6	386492	Action	Drama	Sci-Fi
268380	Ice Age	2002	81	7.5	386297	Adventure	Animation	Comedy
47396	Rear Window	1954	112	8.5	385293	Mystery	Thriller	
1515091	Sherlock Holmes: A Game of Shadows	2011	129	7.5	385107	Action	Adventure	Crime
1099212	Twilight	2008	122	5.2	384561	Drama	Fantasy	Romance
319061	Big Fish	2003	125	8.0	383612	Adventure	Drama	Fantasy
887912	The Hurt Locker	2008	131	7.6	383006	Drama	Thriller	War
800080	The Incredible Hulk	2008	112	6.8	382898	Action	Adventure	Sci-Fi
1454029	The Help	2011	146	8.1	381805	Drama		
1979320	Rush	2013	123	8.1	381785	Action	Biography	Drama
2103281	Dawn of the Planet of the Apes	2014	130	7.6	381214	Action	Adventure	Drama
367882	Indiana Jones and the Kingdom of the Crystal Skull	2008	122	6.2	381169	Action	Adventure	Fantasy
327056	Mystic River	2003	138	8.0	380447	Crime	Drama	Mystery
1457767	The Conjuring	2013	112	7.5	379928	Horror	Mystery	Thriller
1568346	The Girl with the Dragon Tattoo	2011	158	7.8	378898	Crime	Drama	Mystery
407304	War of the Worlds	2005	116	6.5	378448	Adventure	Sci-Fi	Thriller
101414	Beauty and the Beast	1991	84	8.0	378248	Animation	Family	Fantasy
1535109	Captain Phillips	2013	134	7.8	377794	Biography	Drama	Thriller
367594	Charlie and the Chocolate Factory	2005	115	6.7	377402	Adventure	Comedy	Family
1872181	The Amazing Spider-Man 2	2014	142	6.6	376744	Action	Adventure	Sci-Fi
1790864	The Maze Runner	2014	113	6.8	376320	Action	Mystery	Sci-Fi
443706	Zodiac	2007	157	7.7	376151	Crime	Drama	Mystery
319262	The Day After Tomorrow	2004	124	6.4	375848	Action	Adventure	Sci-Fi
2250912	Spider-Man: Homecoming	2017	133	7.5	374910	Action	Adventure	Sci-Fi
314331	Love Actually	2003	135	7.6	371425	Comedy	Drama	Romance
830515	Quantum of Solace	2008	106	6.6	369959	Action	Adventure	Thriller
2713180	Fury	2014	134	7.6	369759	Action	Drama	War
298148	Shrek 2	2004	93	7.2	367422	Adventure	Animation	Comedy
1951265	The Hunger Games: Mockingjay - Part 1	2014	123	6.7	367188	Action	Adventure	Sci-Fi
441773	Kung Fu Panda	2008	92	7.6	366727	Action	Adventure	Animation
335266	Lost in Translation	2003	102	7.8	365796	Drama		
337978	Live Free or Die Hard	2007	128	7.1	365373	Action	Adventure	Thriller
382625	The Da Vinci Code	2006	149	6.6	363346	Mystery	Thriller	
1723121	We're the Millers	2013	110	7.0	362679	Comedy	Crime	
2948356	Zootopia	2016	108	8.0	362650	Adventure	Animation	Comedy
217505	Gangs of New York	2002	167	7.5	362541	Crime	Drama	
120591	Armageddon	1998	151	6.7	361701	Action	Adventure	Sci-Fi
325710	The Last Samurai	2003	154	7.7	361531	Action	Drama	History
1399103	Transformers: Dark of the Moon	2011	154	6.3	359215	Action	Adventure	Sci-Fi
765429	American Gangster	2007	157	7.8	358944	Biography	Crime	Drama
360717	King Kong	2005	187	7.2	358411	Action	Adventure	Drama
120616	The Mummy	1999	124	7.0	358299	Action	Adventure	Fantasy
1055369	Transformers: Revenge of the Fallen	2009	150	6.0	357612	Action	Adventure	Sci-Fi
362227	The Terminal	2004	128	7.3	355271	Comedy	Drama	Romance
33467	Citizen Kane	1941	119	8.4	353717	Drama	Mystery	
780536	In Bruges	2008	107	7.9	353503	Comedy	Crime	Drama
405422	The 40-Year-Old Virgin	2005	116	7.1	353444	Comedy	Romance	
2245084	Big Hero 6	2014	102	7.8	352765	Action	Adventure	Animation
1245492	This Is the End	2013	107	6.6	352755	Comedy	Fantasy	
398286	Tangled	2010	100	7.8	352477	Adventure	Animation	Comedy
97165	Dead Poets Society	1989	128	8.1	352459	Comedy	Drama	
1014759	Alice in Wonderland	2010	108	6.5	349854	Adventure	Family	Fantasy
117060	Mission: Impossible	1996	110	7.1	349784	Action	Adventure	Thriller
5052448	Get Out	2017	104	7.7	349101	Horror	Mystery	Thriller
1856101	Blade Runner 2049	2017	164	8.0	348876	Drama	Mystery	Sci-Fi
139654	Training Day	2001	122	7.7	348222	Crime	Drama	Thriller
1605783	Midnight in Paris	2011	94	7.7	347999	Comedy	Fantasy	Romance
93779	The Princess Bride	1987	98	8.1	347990	Adventure	Family	Fantasy
163651	American Pie	1999	95	7.0	345808	Comedy		
1895587	Spotlight	2015	129	8.1	345342	Crime	Drama	History
2980516	The Theory of Everything	2014	123	7.7	344947	Biography	Drama	Romance
942385	Tropic Thunder	2008	107	7.0	344933	Action	Adventure	Comedy
99088	Back to the Future Part III	1990	118	7.4	344802	Adventure	Comedy	Sci-Fi
2119532	Hacksaw Ridge	2016	139	8.1	344476	Biography	Drama	History
387564	Saw	2004	103	7.6	344405	Horror	Mystery	
1060277	Cloverfield	2008	85	7.0	344133	Action	Horror	Sci-Fi
91763	Platoon	1986	120	8.1	343005	Drama	War	
2379713	Spectre	2015	148	6.8	342817	Action	Adventure	Thriller
32138	The Wizard of Oz	1939	102	8.0	342752	Adventure	Family	Fantasy
181852	Terminator 3: Rise of the Machines	2003	109	6.3	342251	Action	Sci-Fi	
38650	It's a Wonderful Life	1946	130	8.6	341666	Drama	Family	Fantasy
1905041	Fast & Furious 6	2013	130	7.1	339875	Action	Crime	Thriller
1637688	In Time	2011	109	6.7	339682	Action	Sci-Fi	Thriller
831387	Godzilla	2014	123	6.4	339071	Action	Adventure	Sci-Fi
3183660	Fantastic Beasts and Where to Find Them	2016	133	7.3	338628	Adventure	Family	Fantasy
289043	28 Days Later...	2002	113	7.6	338574	Drama	Horror	Sci-Fi
315327	Bruce Almighty	2003	101	6.7	337966	Comedy	Drama	Fantasy
93773	Predator	1987	107	7.8	337213	Action	Adventure	Sci-Fi
3890160	Baby Driver	2017	112	7.6	336991	Action	Crime	Drama
3385516	X-Men: Apocalypse	2016	144	7.0	336887	Action	Adventure	Sci-Fi
1690953	Despicable Me 2	2013	98	7.4	334185	Adventure	Animation	Comedy
493464	Wanted	2008	110	6.7	333740	Action	Crime	Fantasy
112864	Die Hard with a Vengeance	1995	128	7.6	333506	Action	Adventure	Thriller
119567	The Lost World: Jurassic Park	1997	129	6.5	332919	Action	Adventure	Sci-Fi
443543	The Illusionist	2006	110	7.6	332118	Drama	Mystery	Romance
265086	Black Hawk Down	2001	144	7.7	331319	Drama	History	War
105695	Unforgiven	1992	130	8.2	331160	Drama	Western	
363771	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2005	143	6.9	330425	Adventure	Family	Fantasy
458352	The Devil Wears Prada	2006	109	6.9	329349	Comedy	Drama	
369339	Collateral	2004	120	7.5	329120	Crime	Drama	Thriller
1259521	The Cabin in the Woods	2012	95	7.0	328634	Comedy	Horror	
446029	Scott Pilgrim vs. the World	2010	112	7.5	327929	Action	Comedy	Fantasy
83866	E.T. The Extra-Terrestrial	1982	115	7.9	327668	Family	Sci-Fi	
2820852	Furious 7	2015	137	7.2	327564	Action	Crime	Thriller
443453	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	2006	84	7.3	326813	Comedy		
86879	Amadeus	1984	160	8.3	326615	Biography	Drama	History
478311	Knocked Up	2007	129	7.0	325988	Comedy	Drama	Romance
1217209	Brave	2012	93	7.1	325941	Adventure	Animation	Comedy
1772341	Wreck-It Ralph	2012	101	7.7	325197	Adventure	Animation	Comedy
92005	Stand by Me	1986	89	8.1	325055	Adventure	Drama	
